epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.0969,1.1891,2.50042,1.57468,0.8606,0.58937,0.69333,0.45169,1.4951,2.27357,1.86416,0.000664488,0.000664488,0.000664488
2,112.647,1.33337,1.75262,1.68939,0.64607,0.43478,0.55414,0.38597,1.36924,2.46045,1.87439,0.00131798,0.00131798,0.00131798
3,170.723,1.33351,1.53949,1.68858,0.54415,0.47826,0.51865,0.32162,1.47459,1.99029,1.92287,0.00195826,0.00195826,0.00195826
4,228.742,1.2891,1.43629,1.64436,0.81899,0.62319,0.7718,0.52138,1.19784,1.35843,1.67698,0.0019406,0.0019406,0.0019406
5,287.128,1.19718,1.32681,1.57894,0.79569,0.7343,0.84076,0.61077,1.08355,1.1748,1.55789,0.0019208,0.0019208,0.0019208
6,347.204,1.14994,1.2371,1.53559,0.8607,0.68653,0.84518,0.59294,1.04482,1.09003,1.53403,0.001901,0.001901,0.001901
7,407.056,1.12838,1.18608,1.53222,0.81583,0.64734,0.79958,0.59867,1.02779,1.18685,1.45709,0.0018812,0.0018812,0.0018812
8,466.774,1.06728,1.09878,1.46193,0.75382,0.81159,0.8946,0.67115,0.91909,0.97785,1.41878,0.0018614,0.0018614,0.0018614
9,526.337,1.05969,1.09276,1.46763,0.76429,0.86473,0.89399,0.6585,1.00349,0.86072,1.4848,0.0018416,0.0018416,0.0018416
10,585.746,1.02542,1.03131,1.43556,0.89538,0.78558,0.90346,0.66205,0.94619,0.84245,1.45386,0.0018218,0.0018218,0.0018218
11,644.823,1.01321,1.0243,1.43409,0.85041,0.85139,0.92925,0.69998,0.89386,0.82048,1.42018,0.001802,0.001802,0.001802
12,704.284,0.97848,0.97801,1.40435,0.78659,0.8744,0.90052,0.65938,0.94128,0.84132,1.423,0.0017822,0.0017822,0.0017822
13,764.621,0.97919,0.94762,1.3955,0.89061,0.80193,0.91849,0.70451,0.87649,0.81713,1.36199,0.0017624,0.0017624,0.0017624
14,824.74,0.95954,0.9279,1.38852,0.8446,0.81159,0.88936,0.68464,0.86939,0.89795,1.3814,0.0017426,0.0017426,0.0017426
15,884.806,0.94602,0.9045,1.38169,0.87704,0.86142,0.93739,0.72829,0.80981,0.74717,1.30969,0.0017228,0.0017228,0.0017228
16,945.421,0.92971,0.8975,1.3669,0.90842,0.81462,0.92162,0.70492,0.87369,0.69703,1.38235,0.001703,0.001703,0.001703
17,1006.02,0.92139,0.87795,1.35349,0.91341,0.88406,0.95302,0.75304,0.81514,0.71232,1.33705,0.0016832,0.0016832,0.0016832
18,1066.23,0.91234,0.85136,1.34978,0.92733,0.85507,0.951,0.74514,0.8088,0.6768,1.32643,0.0016634,0.0016634,0.0016634
19,1126.27,0.90517,0.85415,1.34861,0.88066,0.89123,0.94716,0.75323,0.75078,0.689,1.29013,0.0016436,0.0016436,0.0016436
20,1186.65,0.89445,0.83198,1.32881,0.96779,0.8708,0.95283,0.75921,0.78755,0.66708,1.31738,0.0016238,0.0016238,0.0016238
21,1247.17,0.88037,0.82949,1.32122,0.91145,0.92271,0.96527,0.75699,0.77516,0.65708,1.29455,0.001604,0.001604,0.001604
22,1307.48,0.86039,0.79289,1.31008,0.91885,0.90821,0.9629,0.77039,0.72852,0.60482,1.22983,0.0015842,0.0015842,0.0015842
23,1367.77,0.86261,0.79196,1.30548,0.93394,0.89372,0.95775,0.75546,0.77368,0.61573,1.26808,0.0015644,0.0015644,0.0015644
24,1428.2,0.86039,0.78017,1.31088,0.9149,0.93482,0.97663,0.80256,0.72312,0.53233,1.24524,0.0015446,0.0015446,0.0015446
25,1488.51,0.85722,0.77993,1.30424,0.93997,0.89372,0.96613,0.77041,0.7493,0.60521,1.26758,0.0015248,0.0015248,0.0015248
26,1548.49,0.83128,0.75486,1.29569,0.90328,0.8599,0.94542,0.75474,0.75196,0.60756,1.29432,0.001505,0.001505,0.001505
27,1608.61,0.82431,0.74664,1.28248,0.95887,0.9011,0.97291,0.79099,0.67122,0.56762,1.20181,0.0014852,0.0014852,0.0014852
28,1669.1,0.83336,0.75633,1.28321,0.96459,0.92107,0.97674,0.80226,0.69996,0.52871,1.2427,0.0014654,0.0014654,0.0014654
29,1729.42,0.82623,0.73602,1.27234,0.91975,0.91787,0.97056,0.79632,0.67774,0.56303,1.21837,0.0014456,0.0014456,0.0014456
30,1789.7,0.81398,0.74404,1.27525,0.94958,0.90986,0.9682,0.80669,0.65192,0.56798,1.19122,0.0014258,0.0014258,0.0014258
31,1850.06,0.80566,0.72873,1.26728,0.96425,0.95652,0.98434,0.80516,0.68468,0.49983,1.21461,0.001406,0.001406,0.001406
32,1910.83,0.80201,0.71669,1.26866,0.93031,0.92271,0.96839,0.80296,0.64756,0.51094,1.19537,0.0013862,0.0013862,0.0013862
33,1971.26,0.7916,0.70717,1.25706,0.9368,0.91787,0.96509,0.80499,0.6713,0.5381,1.19672,0.0013664,0.0013664,0.0013664
34,2031.72,0.78746,0.70164,1.25987,0.93358,0.9507,0.98068,0.82437,0.62288,0.47025,1.17702,0.0013466,0.0013466,0.0013466
35,2092.72,0.7813,0.6863,1.24784,0.96472,0.92484,0.97304,0.7998,0.68958,0.49327,1.21032,0.0013268,0.0013268,0.0013268
36,2153.23,0.77118,0.68398,1.24461,0.94996,0.95169,0.98155,0.82194,0.64933,0.46235,1.18364,0.001307,0.001307,0.001307
37,2213.97,0.77296,0.67915,1.23773,0.94603,0.93146,0.97751,0.82482,0.59913,0.46601,1.14788,0.0012872,0.0012872,0.0012872
38,2274.88,0.75817,0.66713,1.22834,0.89765,0.9321,0.96647,0.80943,0.64474,0.52406,1.18666,0.0012674,0.0012674,0.0012674
39,2335.39,0.76496,0.67464,1.23936,0.95543,0.93197,0.9775,0.82733,0.62074,0.52434,1.19359,0.0012476,0.0012476,0.0012476
40,2396.05,0.74381,0.64099,1.21746,0.96978,0.93026,0.98472,0.82594,0.64824,0.45695,1.16902,0.0012278,0.0012278,0.0012278
41,2456.3,0.75169,0.65574,1.23331,0.94738,0.95679,0.98621,0.8234,0.60968,0.44107,1.18323,0.001208,0.001208,0.001208
42,2516.73,0.74219,0.64173,1.21747,0.96233,0.95169,0.98518,0.84099,0.60641,0.44352,1.1779,0.0011882,0.0011882,0.0011882
43,2577.36,0.73234,0.63798,1.20955,0.97957,0.92653,0.98531,0.83474,0.59697,0.45984,1.16766,0.0011684,0.0011684,0.0011684
44,2638.27,0.72619,0.62637,1.20582,0.97092,0.95169,0.98513,0.83091,0.59043,0.46653,1.1778,0.0011486,0.0011486,0.0011486
45,2697.64,0.72115,0.62809,1.2,0.95266,0.97213,0.98788,0.83758,0.60031,0.43587,1.15113,0.0011288,0.0011288,0.0011288
46,2756.97,0.71884,0.61587,1.20101,0.9554,0.94203,0.97985,0.83598,0.58292,0.48055,1.14362,0.001109,0.001109,0.001109
47,2817.56,0.72098,0.62371,1.20579,0.96544,0.96618,0.98419,0.84693,0.54029,0.4093,1.11572,0.0010892,0.0010892,0.0010892
48,2872.4,0.71191,0.60552,1.1922,0.95907,0.95169,0.98676,0.85176,0.55889,0.42184,1.12409,0.0010694,0.0010694,0.0010694
49,2929.77,0.70066,0.60354,1.18216,0.97989,0.94142,0.98879,0.8461,0.57087,0.39932,1.12203,0.0010496,0.0010496,0.0010496
50,2990.07,0.69323,0.60593,1.17603,0.97518,0.94911,0.9886,0.85046,0.5719,0.39688,1.11857,0.0010298,0.0010298,0.0010298
51,3051.08,0.70298,0.59623,1.18968,0.96267,0.94686,0.97442,0.84786,0.55719,0.4095,1.12775,0.00101,0.00101,0.00101
52,3110.1,0.6893,0.58827,1.17735,0.96162,0.97101,0.98734,0.8589,0.52755,0.41696,1.11191,0.0009902,0.0009902,0.0009902
53,3168.23,0.69179,0.58761,1.18129,0.96582,0.95569,0.98542,0.8383,0.56074,0.40382,1.13522,0.0009704,0.0009704,0.0009704
54,3227.37,0.68213,0.58267,1.1756,0.96925,0.94686,0.98599,0.85638,0.55387,0.40809,1.1184,0.0009506,0.0009506,0.0009506
55,3286.09,0.67568,0.57987,1.17183,0.96085,0.94858,0.98093,0.85652,0.52752,0.40648,1.07968,0.0009308,0.0009308,0.0009308
56,3344.43,0.67919,0.57712,1.16675,0.97998,0.9461,0.97966,0.85553,0.54111,0.40737,1.10583,0.000911,0.000911,0.000911
57,3405.83,0.66285,0.56339,1.15821,0.9849,0.94531,0.9849,0.87612,0.50576,0.38557,1.07896,0.0008912,0.0008912,0.0008912
58,3466.91,0.66937,0.56179,1.16284,0.97442,0.95169,0.98621,0.85489,0.54376,0.38391,1.10824,0.0008714,0.0008714,0.0008714
59,3529.28,0.65945,0.5567,1.15687,0.98488,0.94434,0.98686,0.86399,0.49896,0.39125,1.07385,0.0008516,0.0008516,0.0008516
60,3592.03,0.64797,0.54357,1.14577,0.97227,0.94203,0.98414,0.84211,0.53245,0.40616,1.10381,0.0008318,0.0008318,0.0008318
61,3652.46,0.64952,0.54263,1.14652,0.98498,0.95056,0.98553,0.85617,0.52441,0.38282,1.09429,0.000812,0.000812,0.000812
62,3713.09,0.65522,0.55672,1.15966,0.98007,0.95011,0.98789,0.85641,0.53157,0.38215,1.09288,0.0007922,0.0007922,0.0007922
63,3774.88,0.64099,0.53891,1.14255,0.98337,0.94203,0.98958,0.86439,0.52947,0.39251,1.09853,0.0007724,0.0007724,0.0007724
64,3836.23,0.64373,0.53388,1.14285,0.99315,0.94686,0.98894,0.86523,0.5226,0.38902,1.09332,0.0007526,0.0007526,0.0007526
65,3898.89,0.64214,0.5249,1.14265,0.97827,0.94203,0.99018,0.8634,0.51717,0.38192,1.08852,0.0007328,0.0007328,0.0007328
66,3961.29,0.63938,0.53867,1.14786,0.98833,0.94686,0.99072,0.86916,0.50049,0.36661,1.07358,0.000713,0.000713,0.000713
67,4023.53,0.63397,0.5318,1.13987,0.99303,0.95169,0.99071,0.86436,0.51258,0.35395,1.07914,0.0006932,0.0006932,0.0006932
68,4085.59,0.61932,0.51829,1.12439,0.97502,0.94293,0.98639,0.85963,0.49282,0.3696,1.06286,0.0006734,0.0006734,0.0006734
